file,split,method,stimulus,onset_s,first_alarm_s,delay_s,max_score_60s,longest_consecutive_gt_threshold_s,already_high_at_onset
ethylene_methane.txt,validation,B0,target_gas,23624.01,23643,18.99,37.515941141006195,45,0
ethylene_methane.txt,validation,B0,target_gas,23842.01,23861,18.99,38.61032939932331,45,0
ethylene_methane.txt,validation,B0,ethylene_only,12909.01,,,2.4629919262442006,0,0
ethylene_methane.txt,validation,B0,ethylene_only,13534.01,,,3.678988040597006,0,0
ethylene_methane.txt,validation,B0,ethylene_only,13734.01,,,2.047093058602142,0,0
ethylene_methane.txt,validation,B0,ethylene_only,13934.01,,,1.0284726780455673,0,0
ethylene_methane.txt,validation,B0,ethylene_only,14834.01,14891,56.99,4.185948519758671,7,0
ethylene_methane.txt,validation,B0,ethylene_only,15034.01,,,2.292823373798328,0,0
ethylene_methane.txt,validation,B0,ethylene_only,15234.01,,,0.9361331534625348,0,0
ethylene_methane.txt,validation,B0,ethylene_only,18028.01,18070,41.99,4.681572673357688,22,0
ethylene_methane.txt,validation,B0,ethylene_only,20818.01,,,2.166845879545761,0,0
ethylene_methane.txt,validation,B0,ethylene_only,21109.01,21156,46.99,4.481970897450973,17,0
ethylene_methane.txt,validation,B0,ethylene_only,22550.01,22596,45.99,4.56045949334655,18,0
ethylene_methane.txt,validation,B1,target_gas,14134.01,14155,20.99,10.093436215969504,43,0
ethylene_methane.txt,validation,B1,target_gas,14334.01,14356,21.99,13.232266382745356,42,0
ethylene_methane.txt,validation,B1,target_gas,14534.01,14557,22.99,11.562846708820839,41,0
ethylene_methane.txt,validation,B1,target_gas,15434.01,15456,21.99,10.047905666797774,42,0
ethylene_methane.txt,validation,B1,target_gas,15634.01,15656,21.99,13.22064672981739,42,0
ethylene_methane.txt,validation,B1,target_gas,15834.01,15857,22.99,11.48594745874452,41,0
ethylene_methane.txt,validation,B1,target_gas,16141.01,16166,24.99,13.413461741340855,39,0
ethylene_methane.txt,validation,B1,target_gas,16424.01,16449,24.99,7.338050867939102,39,0
ethylene_methane.txt,validation,B1,target_gas,16661.01,16685,23.99,14.382336822313885,40,0
ethylene_methane.txt,validation,B1,target_gas,16887.01,16914,26.99,7.733431562190596,37,0
ethylene_methane.txt,validation,B1,target_gas,19983.01,20006,22.99,13.47378175294121,41,0
ethylene_methane.txt,validation,B1,target_gas,20399.01,20429,29.99,7.784353385286975,34,0
ethylene_methane.txt,validation,B1,target_gas,21358.01,21382,23.99,9.37216122232688,40,0
ethylene_methane.txt,validation,B1,target_gas,23624.01,23646,21.99,15.053738031670912,42,0
ethylene_methane.txt,validation,B1,target_gas,23842.01,23864,21.99,15.277403417096998,42,0
ethylene_methane.txt,validation,B1,ethylene_only,12909.01,12944,34.99,8.39701716096435,29,0
ethylene_methane.txt,validation,B1,ethylene_only,13534.01,13568,33.99,11.581353731266319,30,0
ethylene_methane.txt,validation,B1,ethylene_only,13734.01,13774,39.99,7.01531009249028,24,0
ethylene_methane.txt,validation,B1,ethylene_only,13934.01,13991,56.99,3.102885602139096,7,0
ethylene_methane.txt,validation,B1,ethylene_only,14834.01,14876,41.99,9.890975277575766,22,0
ethylene_methane.txt,validation,B1,ethylene_only,15034.01,15073,38.99,7.0042491950829575,25,0
ethylene_methane.txt,validation,B1,ethylene_only,15234.01,15286,51.99,3.1051317323170724,12,0
ethylene_methane.txt,validation,B1,ethylene_only,18028.01,18056,27.99,14.10200022531891,36,0
ethylene_methane.txt,validation,B1,ethylene_only,20818.01,20863,44.99,5.813342513744288,19,0
ethylene_methane.txt,validation,B1,ethylene_only,21109.01,21142,32.99,13.566633089354799,31,0
ethylene_methane.txt,validation,B1,ethylene_only,22550.01,22582,31.99,12.27609762834287,32,0
ethylene_methane.txt,test,B0,target_gas,26932.01,26953,20.99,24.701358724987713,43,0
ethylene_methane.txt,test,B0,target_gas,27132.01,27152,19.99,34.003741366687294,44,0
ethylene_methane.txt,test,B0,target_gas,27332.01,27352,19.99,29.92538488226867,44,0
ethylene_methane.txt,test,B0,target_gas,28232.01,28253,20.99,24.83788930776406,43,0
ethylene_methane.txt,test,B0,target_gas,28432.01,28452,19.99,34.107046209814555,44,0
ethylene_methane.txt,test,B0,target_gas,28632.01,28652,19.99,29.98363298415967,44,0
ethylene_methane.txt,test,B0,target_gas,28913.01,28934,20.99,17.203141990833227,43,0
ethylene_methane.txt,test,B0,target_gas,29218.01,29238,19.99,20.363709557699774,44,0
ethylene_methane.txt,test,B0,target_gas,29665.01,29687,21.99,21.111824598830527,42,0
ethylene_methane.txt,test,B0,target_gas,30966.01,30987,20.99,34.63841070618745,43,0
ethylene_methane.txt,test,B0,target_gas,31164.01,31184,19.99,32.768370441372866,44,0
ethylene_methane.txt,test,B0,target_gas,31402.01,31423,20.99,21.60765486743977,43,0
ethylene_methane.txt,test,B0,target_gas,36231.01,36253,21.99,27.15557015179612,42,0
ethylene_methane.txt,test,B0,ethylene_only,26332.01,26386,53.99,4.238507847367317,10,0
ethylene_methane.txt,test,B0,ethylene_only,26532.01,,,2.2877529445466687,0,0
ethylene_methane.txt,test,B0,ethylene_only,26732.01,,,0.8969713015188381,0,0
ethylene_methane.txt,test,B0,ethylene_only,27632.01,27687,54.99,4.278865166370347,9,0
ethylene_methane.txt,test,B0,ethylene_only,27832.01,,,2.421686478194112,0,0
ethylene_methane.txt,test,B0,ethylene_only,28032.01,,,0.8687747681193768,0,0
ethylene_methane.txt,test,B0,ethylene_only,32444.01,,,2.99349073957413,0,0
ethylene_methane.txt,test,B0,ethylene_only,32637.01,,,3.8447457318239584,0,0
ethylene_methane.txt,test,B0,ethylene_only,33025.01,,,2.1358049590051267,0,0
ethylene_methane.txt,test,B0,ethylene_only,33331.01,,,1.4437532006569365,0,0
ethylene_methane.txt,test,B0,ethylene_only,33531.01,33579,47.99,4.349974844899692,16,0
ethylene_methane.txt,test,B0,ethylene_only,33994.01,,,3.8769408964218814,0,0
ethylene_methane.txt,test,B0,ethylene_only,35691.01,,,3.4111621963041676,0,0
ethylene_methane.txt,test,B0,ethylene_only,38326.01,,,1.9434584314585055,0,0
ethylene_methane.txt,test,B1,target_gas,26932.01,26954,21.99,10.352880356396167,42,0
ethylene_methane.txt,test,B1,target_gas,27132.01,27155,22.99,13.538990656829686,41,0
ethylene_methane.txt,test,B1,target_gas,27332.01,27356,23.99,11.832016987496292,40,0
ethylene_methane.txt,test,B1,target_gas,28232.01,28254,21.99,10.321409919955101,42,0
ethylene_methane.txt,test,B1,target_gas,28432.01,28455,22.99,13.50912076283941,41,0
ethylene_methane.txt,test,B1,target_gas,28632.01,28657,24.99,11.766535805385853,39,0
ethylene_methane.txt,test,B1,target_gas,28913.01,28944,30.99,6.171329192067677,33,0
ethylene_methane.txt,test,B1,target_gas,29218.01,29247,28.99,7.56099333147902,35,0
ethylene_methane.txt,test,B1,target_gas,29665.01,29698,32.99,7.526453253819536,31,0
ethylene_methane.txt,test,B1,target_gas,30966.01,30990,23.99,13.797556976508892,40,0
ethylene_methane.txt,test,B1,target_gas,31164.01,31188,23.99,12.82175666318188,40,0
ethylene_methane.txt,test,B1,target_gas,31402.01,31430,27.99,8.218797500420905,36,0
ethylene_methane.txt,test,B1,target_gas,36231.01,36257,25.99,21.72439946298492,38,0
ethylene_methane.txt,test,B1,ethylene_only,26332.01,26366,33.99,12.14041984556075,30,0
ethylene_methane.txt,test,B1,ethylene_only,26532.01,26571,38.99,7.7801910932556,25,0
ethylene_methane.txt,test,B1,ethylene_only,26732.01,26784,51.99,3.644604961720943,12,0
ethylene_methane.txt,test,B1,ethylene_only,27632.01,27673,40.99,10.538121509573067,23,0
ethylene_methane.txt,test,B1,ethylene_only,27832.01,27871,38.99,7.749378278089077,25,0
ethylene_methane.txt,test,B1,ethylene_only,28032.01,28086,53.99,3.6928337778425826,10,0
ethylene_methane.txt,test,B1,ethylene_only,32444.01,32489,44.99,5.922561954556269,19,0
ethylene_methane.txt,test,B1,ethylene_only,32637.01,32667,29.99,11.881630556450407,34,0
ethylene_methane.txt,test,B1,ethylene_only,33025.01,33068,42.99,6.486171152369239,21,0
ethylene_methane.txt,test,B1,ethylene_only,33331.01,33375,43.99,5.524459164440339,20,0
ethylene_methane.txt,test,B1,ethylene_only,33531.01,33561,29.99,13.930986619297979,34,0
ethylene_methane.txt,test,B1,ethylene_only,33994.01,34029,34.99,11.810679895660302,29,0
ethylene_methane.txt,test,B1,ethylene_only,35691.01,35728,36.99,10.128718384476837,27,0
ethylene_methane.txt,test,B1,ethylene_only,38326.01,38366,39.99,6.26441032340418,24,0
