trial,scenario,duration_s,buffer_m,position_error_bound_m,steps,g2_seconds,p2_seconds,joint_l3_seconds,first_joint_l3_s,pre_release_joint_l3_seconds,unknown_seconds,paired_seconds,zone_mismatch_seconds,boundary_uncertain_seconds,gas_invalid_seconds,person_invalid_seconds,person_p2_gas_missing_lower_bound_fail,gas_g2_person_missing_lower_bound_fail
014_Et_L_CO_n,S2_possible_overlap,3,0.5,0.2,215,150,32,34,91.0,0,11,204,0,11,0,11,0,0
014_Et_L_CO_n,S2_possible_overlap,3,0.5,0.5,215,150,15,15,95.0,0,32,183,0,32,0,32,0,0
014_Et_L_CO_n,S2_possible_overlap,3,1.0,0.0,215,150,35,43,91.0,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,S2_possible_overlap,3,1.0,0.2,215,150,32,36,91.0,0,10,205,0,10,0,10,0,0
014_Et_L_CO_n,S2_possible_overlap,3,1.0,0.5,215,150,15,15,95.0,0,41,174,0,41,0,41,0,0
014_Et_L_CO_n,S2_possible_overlap,3,2.0,0.0,215,150,35,49,91.0,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,S2_possible_overlap,3,2.0,0.2,215,150,32,41,91.0,0,15,200,0,15,0,15,0,0
014_Et_L_CO_n,S2_possible_overlap,3,2.0,0.5,215,150,15,20,95.0,0,45,170,0,45,0,45,0,0
014_Et_L_CO_n,S2_possible_overlap,5,0.5,0.0,215,148,35,38,93.0,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,S2_possible_overlap,5,0.5,0.2,215,148,32,33,95.0,0,11,204,0,11,0,11,0,0
014_Et_L_CO_n,S2_possible_overlap,5,0.5,0.5,215,148,15,15,95.0,0,32,183,0,32,0,32,0,0
014_Et_L_CO_n,S2_possible_overlap,5,1.0,0.0,215,148,35,41,93.0,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,S2_possible_overlap,5,1.0,0.2,215,148,32,35,95.0,0,10,205,0,10,0,10,0,0
014_Et_L_CO_n,S2_possible_overlap,5,1.0,0.5,215,148,15,15,95.0,0,41,174,0,41,0,41,0,0
014_Et_L_CO_n,S2_possible_overlap,5,2.0,0.0,215,148,35,47,93.0,0,0,215,0,0,0,0,0,0
014_Et_L_CO_n,S2_possible_overlap,5,2.0,0.2,215,148,32,40,95.0,0,15,200,0,15,0,15,0,0
014_Et_L_CO_n,S2_possible_overlap,5,2.0,0.5,215,148,15,20,95.0,0,45,170,0,45,0,45,0,0
019_Et_M_Me_H,S2_possible_overlap,1,0.5,0.0,215,159,35,43,88.0,0,0,215,0,0,0,0,0,0
019_Et_M_Me_H,S2_possible_overlap,1,0.5,0.2,215,159,32,35,89.0,0,11,204,0,11,0,11,0,0
019_Et_M_Me_H,S2_possible_overlap,1,0.5,0.5,215,159,15,15,95.0,0,32,183,0,32,0,32,0,0
019_Et_M_Me_H,S2_possible_overlap,1,1.0,0.0,215,159,35,49,85.0,0,0,215,0,0,0,0,0,0
019_Et_M_Me_H,S2_possible_overlap,1,1.0,0.2,215,159,32,40,86.0,0,10,205,0,10,0,10,0,0
019_Et_M_Me_H,S2_possible_overlap,1,1.0,0.5,215,159,15,15,95.0,0,41,174,0,41,0,41,0,0
019_Et_M_Me_H,S2_possible_overlap,1,2.0,0.0,215,159,35,58,82.0,0,0,215,0,0,0,0,0,0
019_Et_M_Me_H,S2_possible_overlap,1,2.0,0.2,215,159,32,49,82.0,0,15,200,0,15,0,15,0,0
019_Et_M_Me_H,S2_possible_overlap,1,2.0,0.5,215,159,15,24,82.0,0,45,170,0,45,0,45,0,0
019_Et_M_Me_H,S2_possible_overlap,3,0.5,0.0,215,157,35,43,88.0,0,0,215,0,0,0,0,0,0
019_Et_M_Me_H,S2_possible_overlap,3,0.5,0.2,215,157,32,35,89.0,0,11,204,0,11,0,11,0,0
019_Et_M_Me_H,S2_possible_overlap,3,0.5,0.5,215,157,15,15,95.0,0,32,183,0,32,0,32,0,0
019_Et_M_Me_H,S2_possible_overlap,3,1.0,0.0,215,157,35,49,85.0,0,0,215,0,0,0,0,0,0
019_Et_M_Me_H,S2_possible_overlap,3,1.0,0.2,215,157,32,40,86.0,0,10,205,0,10,0,10,0,0
019_Et_M_Me_H,S2_possible_overlap,3,1.0,0.5,215,157,15,15,95.0,0,41,174,0,41,0,41,0,0
